,CName,AUID,GroupID,GName,BUID,GName,MissionID,Evaluation,Coaching,PE01,PE02,PE03,PEA01,PEA02,PEC03,PEM07,PEIR08
0,六年一班,107136,1741008,第8組,107196,第1組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:做得很好,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:,PCA02:,PCC03:沒有錯誤
,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
1,六年一班,107136,1741008,第8組,107380,第10組,M231130142305,"PE01:67,PE02:70,PE03:73,PEA01:超級棒的,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:很棒,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
2,六年一班,107147,1741005,第5組,107200,第2組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:還不錯,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:還不錯,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
3,六年一班,107147,1741005,第5組,107255,第3組,M231130142305,"PE01:67,PE02:70,PE03:73,PEA01:超厲害,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
4,六年一班,107187,1741006,第6組,107136,第8組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:程式碼,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:程式碼,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
5,六年一班,107187,1741006,第6組,107253,第4組,M231130142305,"PE01:68,PE02:71,PE03:75,PEA01:程式碼,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:正確,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
6,六年一班,107196,1741001,第1組,107147,第5組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:最後沒有放上清空,PEM07:,PEIR08:,","PC01:77,PCA01:好的拉,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
7,六年一班,107196,1741001,第1組,107324,第9組,M231130142305,"PE01:67,PE02:70,PE03:73,PEA01:很有創意
,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝你們給我的評語,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
8,六年一班,107200,1741002,第2組,107187,第6組,M231130142305,"PE01:67,PE02:70,PE03:73,PEA01:還不錯,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:還不錯,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
9,六年一班,107200,1741002,第2組,107377,第7組,M231130142305,"PE01:67,PE02:70,PE03:73,PEA01:還不錯
,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:,PCA02:,PCC03:,PCM07:可以多給一些意見,PCIR08:,",True,True,True,True,True,True,True,True
10,六年一班,107253,1741004,第4組,107196,第1組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:還可以,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:很好
,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
11,六年一班,107253,1741004,第4組,107380,第10組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:,PEIR08:為甚麼egg,","PC01:77,PCA01:不知道,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
12,六年一班,107255,1741003,第3組,107187,第6組,M231130142305,"PE01:67,PE02:70,PE03:73,PEA01:,PEA02:,PEC03:,PEM07:字在大一點,PEIR08:,","PC01:77,PCA01: 還不錯,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
13,六年一班,107255,1741003,第3組,107377,第7組,M231130142305,"PE01:67,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:字在清楚 一點,PEIR08:,","PC01:78,PCA01:,PCA02:,PCC03:我們只是隊名較長,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
14,六年一班,107324,1741009,第9組,107200,第2組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:還不錯,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:還不錯
,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
15,六年一班,107324,1741009,第9組,107255,第3組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:還可以,PEA02:最後一步沒做完,PEC03:沒放清空,PEM07:把清空放到最後一步,PEIR08:沒有,","PC01:78,PCA01:,PCA02:,PCC03:因為程式碼有狀況,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
16,六年一班,107377,1741007,第7組,107136,第8組,M231130142305,"PE01:67,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:最後沒有放【清空】,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝提醒,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
17,六年一班,107377,1741007,第7組,107253,第4組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:有創意,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:76,PCA01:謝謝,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
18,六年一班,107380,1741010,第10組,107147,第5組,M231130142305,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:沒有,PEM07:,PEIR08:,","PC01:77,PCA01:讚,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
19,六年一班,107380,1741010,第10組,107324,第9組,M231130142305,"PE01:68,PE02:70,PE03:74,PEA01:很棒,PEA02:,PEC03:,PEM07:,PEIR08:,","PC01:77,PCA01:謝謝
,PCA02:,PCC03:,PCM07:,PCIR08:,",True,True,True,True,True,True,True,True
20,六年七班,107139,5121001,第1組,107298,第7組,M231204110653,"PE01:68,PE02:71,PE03:74,PEA01:使用英文,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
21,六年七班,107139,5121001,第1組,107426,第4組,M231204110653,"PE01:68,PE02:71,PE03:75,PEA01:圖形有創意,PEA02:,PEC03:,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
22,六年七班,107204,5121005,第5組,107325,第9組,M231204110653,"PE01:68,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:可以加入座號,PEIR08:,",,True,True,True,True,True,True,True,True
23,六年七班,107204,5121005,第5組,107499,第2組,M231204110653,"PE01:68,PE02:72,PE03:74,PEA01:,PEA02:,PEC03:沒寫4.5.6,PEM07:,PEIR08:,",,True,True,True,True,True,True,True,True
24,六年七班,107216,5121008,第8組,107139,第1組,M231204110653,"PE01:69,PE02:71,PE03:74,PEA01:,PEA02:,PEC03:,PEM07:流程圖可以清楚一點,PEIR08:,",,True,True,True,True,True,True,True,True
